"Game","ReleaseDate","Genre","TotalEarnings","OnlineEarnings","TotalPlayers","TotalTournaments"
"Need for Speed: Underground","2003","Racing",35000,35000,3,1
"Need for Speed: Underground 2","2004","Racing",35629.48,35629.48,8,3
"Project Cars","2015","Racing",68029.21,10602.71,50,115
"Project Cars 2","2017","Racing",66150,58150,37,22
"Project Gotham Racing 2","2003","Racing",35000,35000,4,2
"Project Gotham Racing 3","2005","Racing",297286.85,297286.85,33,10
"Project Gotham Racing 4","2007","Racing",25208.46,25208.46,5,4
"RaceRoom Racing Experience","2013","Racing",231436.2,82583.7,159,26
"rFactor","2005","Racing",15083.56,0,51,4
"rFactor 2","2013","Racing",1594178.42,1141396.94,350,81
"Speedrunners","2016","Racing",150,0,5,2
"Trackmania (2020)","2020","Racing",180196.68,3888.42,285,239
"TrackMania 2: Canyon","2011","Racing",22098.74,16559.04,21,36
"TrackMania 2: Stadium","2013","Racing",198832.27,107640.31,349,284
"Trackmania 2: Valley","2013","Racing",779.34,779.34,6,2
"TrackMania Nations","2006","Racing",93381.66,53381.66,18,8
"TrackMania Nations Forever","2008","Racing",167386.65,146554.75,109,73
"Trackmania Turbo","2016","Racing",679.41,0,6,2
"Trackmania United","2006","Racing",1027.5,1027.5,3,1
"Trackmania United Forever","2008","Racing",0,0,0,0
"Trials Fusion","2014","Racing",0,0,0,0
"Turbo Racing League","2013","Racing",1e+06,5e+05,16,9
"Carom 3D","1999","Sports",60500,60500,11,4
"Dream league Soccer","2019","Sports",0,0,0,0
"FIFA 03","2002","Sports",54066.44,54066.44,10,3
"FIFA 04","2003","Sports",40000,40000,3,3
"FIFA 05","2004","Sports",57728.01,57728.01,5,8
"FIFA 06","2005","Sports",112464.53,112464.53,23,12
"FIFA 07","2006","Sports",238312.23,238312.23,43,14
"FIFA 08","2007","Sports",207129.94,207129.94,68,17
"FIFA 09","2008","Sports",121618.34,115321.42,52,19
"FIFA 10","2009","Sports",117026.71,90147.21,64,48
"FIFA 11","2010","Sports",93983.77,85154.02,72,78
"FIFA 12","2011","Sports",54431.52,47279.42,53,66
"FIFA 13","2012","Sports",458427.82,448195.59,53,62
"FIFA 14","2013","Sports",96347.81,87377.48,57,69
"FIFA 15","2014","Sports",144373.99,116439.15,168,352
"FIFA 16","2015","Sports",117828.11,116883.94,61,28
"FIFA 17","2016","Sports",1482612.63,1482612.63,156,48
"FIFA 18","2017","Sports",2233697.69,2221267.08,235,48
"FIFA 19","2018","Sports",3242642.34,3233027.83,299,48
"FIFA 20","2019","Sports",2117946.76,1066013.14,297,61
"FIFA 2000","1999","Sports",50000,50000,4,1
"FIFA 2001","2000","Sports",46000,46000,9,2
"FIFA 2002 World Cup","2002","Sports",43000,43000,8,1
"FIFA 21","2020","Sports",2245134.53,84140.13,234,26
"FIFA 22","2021","Sports",28622.56,28622.56,16,1
"FIFA Online 3","2012","Sports",1434341.9,1434341.9,88,9
"FIFA Online 4","2018","Sports",1681120,791120,155,12
"Golf With Your Friends","2016","Sports",19400,0,11,2
"Guitar Hero 5","2009","Sports",10500,10500,3,1
"Guitar Hero III: Legends of Rock","2007","Sports",19000,19000,8,2
"Guitar Hero: World Tour","2008","Sports",0,0,0,0
"Just Dance 2014","2014","Sports",0,0,3,1
"Madden NFL 19","2018","Sports",125000,125000,5,3
"Madden NFL 2004","2003","Sports",1500,1500,3,1
"Madden NFL 2006","2005","Sports",1e+05,1e+05,1,1
"Madden NFL 2007","2006","Sports",1e+05,1e+05,1,1
"Madden NFL 2008","2007","Sports",1e+05,1e+05,1,1
"Madden NFL 2009","2008","Sports",1e+05,1e+05,1,1
"Madden NFL 2013","2012","Sports",4e+05,4e+05,8,1
"Madden NFL 2016","2015","Sports",50000,50000,8,1
"Madden NFL 2017","2016","Sports",1004000,1004000,42,5
"Madden NFL 2018","2017","Sports",279676.62,20676.62,40,3
"Mario Tennis Aces","2018","Sports",61.3,0,6,2
"NBA 2K Online","2012","Sports",0,0,0,0
"NBA 2K18","2017","Sports",1e+06,1e+06,91,4
"NBA 2K19","2018","Sports",0,0,0,0
"NBA 2K20","2019","Sports",0,0,0,0
"NBA 2K21","2020","Sports",501,0,3,1
"NHL '94","1993","Sports",3818.56,3818.56,25,8
"NHL 12","2011","Sports",702.93,702.93,6,2
"NHL 13","2012","Sports",70000,70000,1,1
"NHL 14","2013","Sports",3023.96,3023.96,6,3
"NHL 15","2014","Sports",3157.16,3157.16,3,3
"NHL 17","2016","Sports",0,0,0,0
"NHL 18","2017","Sports",102700,90000,20,6
"NHL 19","2018","Sports",22566.67,19566.67,10,8
"Pro Evolution Soccer 2008","2007","Sports",2084.15,2084.15,6,3
"Pro Evolution Soccer 2009","2008","Sports",1395.97,0,5,2
"Pro Evolution Soccer 2013","2012","Sports",0,0,0,0
"Pro Evolution Soccer 2014","2013","Sports",29410.25,29410.25,4,1
"Pro Evolution Soccer 2015","2014","Sports",26544.76,26544.76,3,1
"Pro Evolution Soccer 2016","2015","Sports",27243.84,27243.84,17,6
"Pro Evolution Soccer 2017","2016","Sports",514697.71,514697.71,39,16
"Pro Evolution Soccer 2018","2017","Sports",250000,250000,20,3
"Pro Evolution Soccer 2019","2019","Sports",216000,216000,25,2
"Pro Evolution Soccer 3","2003","Sports",25000,25000,8,2
"Pro Evolution Soccer 4","2004","Sports",40550.64,40550.64,11,2
"Pro Evolution Soccer 5","2005","Sports",32000,32000,4,1
"Pro Evolution Soccer 6","2006","Sports",20216.82,20216.82,5,2
"Rocket League","2015","Sports",16787959.34,4466348.99,1985,1969
"Rocket League Sideswipe","2021","Sports",2500,0,1,1
"Slapshot Rebound","2020","Sports",0,0,0,0
"Soccer Stars","2018","Sports",0,0,0,0
"Zwift","2015","Sports",33827.08,0,6,2
"Artifact Classic","2018","Collectible Card Game",119398.54,11635.81,277,170
"Artifact Foundry","2020","Collectible Card Game",1174.5,0,21,12
"Faeria","2017","Collectible Card Game",4100,0,12,5
"Gwent","2016","Collectible Card Game",1206277.17,755391.17,324,113
"Hand of the Gods","2017","Collectible Card Game",94434.2,72500,48,36
"Hearthstone","2014","Collectible Card Game",26689371.78,18495720.37,2665,948
"Hearthstone Battlegrounds","2019","Collectible Card Game",203630,0,40,4
"KARDS, The World War II Card Game","2019","Collectible Card Game",0,0,0,0
"Legends of Runeterra","2020","Collectible Card Game",320181.03,0,47,7
"Magic: The Gathering Arena","2018","Collectible Card Game",8488000,5354000,282,48
"Magic: The Gathering Online","2002","Collectible Card Game",1218000,1218000,130,10
"Mythgard","2019","Collectible Card Game",3000,0,9,3
"Pok<U+00E9>mon TCG","1996","Collectible Card Game",0,0,0,0
"Shadowverse","2016","Collectible Card Game",3211177.09,3080377.09,239,42
"Shardbound","2017","Collectible Card Game",0,0,0,0
"The Elder Scrolls: Legends","2017","Collectible Card Game",5000,5000,3,1
"Yu-Gi-Oh! Duel Links","2016","Collectible Card Game",48746.72,0,328,219
"Catherine","2011","Puzzle Game",1545,1470,11,7
"Catherine: Full Body","2019","Puzzle Game",185,185,3,1
"Cultris II","2011","Puzzle Game",190.95,0,3,1
"Jstris","2014","Puzzle Game",275,0,12,2
"Magical Drop III","1997","Puzzle Game",130,130,3,1
"Microsoft Excel","1985","Puzzle Game",1400,0,8,4
"Pac-man","1981","Puzzle Game",0,0,0,0
"Panel Attack","2020","Puzzle Game",140,0,5,2
"Puyo Puyo Champions","2019","Puzzle Game",2482.3,2071.8,14,5
"Puyo Puyo Tetris","2014","Puzzle Game",3422.84,1617.75,31,16
"Puyo Puyo Tetris 2","2020","Puzzle Game",896.02,785.85,10,2
"Tetr.io","2020","Puzzle Game",5287.88,2034.4,27,13
"Tetris","1989","Puzzle Game",42515.99,16633.17,67,28
"Tetris Effect: Connected","2020","Puzzle Game",1934.91,1552.88,12,3
"Tetris Ultimate","2014","Puzzle Game",221,221,3,1
"Twinkle Star Sprites","1996","Puzzle Game",150,0,4,2
"Wise Star 2","2008","Puzzle Game",12000,12000,3,1
"Apex Legends","2019","Battle Royale",9437038.69,2014420.75,1538,414
"Ark: Survival Of The Fittest","2017","Battle Royale",0,0,0,0
"Fall Guys","2020","Battle Royale",334273.83,0,250,6
"Fortnite","2017","Battle Royale",111339316.05,42203537.61,4931,750
"Free Fire","2017","Battle Royale",4415734.23,3593500.23,659,31
"H1Z1","2016","Battle Royale",2067122,2067122,119,13
"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","2017","Battle Royale",31118651.32,21013703.97,1814,74
"PLAYERUNKNOWN’S BATTLEGROUNDS","2017","Battle Royale",42981357.41,32396915.2,3052,388
"Radical Heights","2018","Battle Royale",120000,0,12,2
"Ring of Elysium","2018","Battle Royale",70000,0,9,4
"Rocket Arena","2020","Battle Royale",1e+05,0,24,3
"Rules Of Survival","2017","Battle Royale",0,0,0,0
"Spellbreak","2020","Battle Royale",50000,0,42,1
"Gears 5","2019","Third-Person Shooter",1783000,680000,160,22
"Gears of War","2006","Third-Person Shooter",252195.57,252195.57,33,18
"Gears of War 2","2008","Third-Person Shooter",135000,135000,0,5
"Gears of War 3","2011","Third-Person Shooter",7255.81,4555.81,13,4
"Gears of War 4","2016","Third-Person Shooter",3087285,3055000,135,41
"Gears of War: Ultimate Edition","2015","Third-Person Shooter",170000,170000,39,3
"Knockout City","2021","Third-Person Shooter",0,0,0,0
"Mobile Suit Gundam: Extreme Vs Maxi Boost ON","2016","Third-Person Shooter",100,0,6,1
"Rogue Company","2020","Third-Person Shooter",50000,0,48,2
"The Division 2","2019","Third-Person Shooter",27250,0,40,2
